sondern	а
nämlich	а именно
das Abonnement, -s/-e	абонемент
die Aprikose, -n	абрикос
die Marille, -n (A) → D, CH: Aprikose	абрикос
absolut	абсолютный
der August, -(e)s и -, -e	август
Österreich der Österreicher, - die Österreicherin, -nen österreichisch	Австрия австриец
der Bus, -se	автобус
der Automat, -en	автомат
automatisch	автоматический
das Auto, -s	автомобиль
der Anrufbeantworter, -	автоответчик
der Autor, -en die Autorin, -nen	автор
der Anwalt, ¨-e die Anwältin, -nen	адвокат
die Behörde, -n	административное учреждение
ordentlich	аккуратный
der Schauspieler, - die Schauspielerin, -nen	актер
die Aktivität, -en	активность
aktiv	активный
aktuell	актуальный
die Aktion, -en	акция
das Alphabet, -e	алфавит
die Alternative, -n	альтернатива
alternativ	альтернативный
analysieren, analysiert, analysierte, hat analysiert	анализировать
die Annonce, -n	анонс
der Apparat, -e	аппарат
das Apartment, -s	аппартаменты
der Appetit, -(e)s, -e	аппетит
der April	апрель
die Apotheke, -n	аптека
die Drogerie, -n	аптекарский магазин
der Vermieter, - die Vermieterin, -nen	арендодатель
verhaften, verhaftet, verhaftete, hat verhaftet	арестовывать
der Architekt, -en die Architektin, -nen	архитектор
die Matura (A, CH) → D: Abitur	аттестат зрелости
der Flughafen, ¨-	аэропорт
die Oma, -s	бабка
das Gepäck	багаж
das Ballett, -e	балет
der Balkon, -e	балкон
die Banane, -n	банан
die Bank, -en	банк
die Bank, -en	банк
die ec-Karte/EC-Karte → A: Bankomat-Karte	банковская карта
die Bankleitzahl, -en	банковский идентификационный код
der Bancomat/Bankomat, -en	банкомат
der Geldautomat, -en (D) → A, CH: Bancomat/Bankomat	банкомат
die Bar, -s	бар
die Bar, -s	бар 
der Basketball, ¨-e	баскетбол
das Schwimmbad, ¨-er	бассейн плавательный
streiken, streikt, streikte, hat gestreikt	бастовать
die Batterie, -n	батарейка
der Turm, ¨-e	башня
joggen	бегать трусцой
die Flucht	бегство
Not-	беда
arm	бедный
laufen, läuft, lief, ist gelaufen	бежать
rennen, rennt, rannte, ist gerannt	бежать
miss-	без
ohne	без
fünf Minuten vor/nach eins	без пяти час 00:55 / час ноль пять 01:05
viertel vor/nach zwei	без четверти два
umsonst	безвозмездно
faulenzen, faulenzt, faulenzte, hat gefaulenzt	бездельничать
die Sicherheit, -en	безопасность
die Arbeitslosigkeit	безработица
arbeitslos	безработный
verrückt	безрассудно
wahnsinnig	безумный
weiß	белый
die Wäsche	белье
das Benzin, -s, -e	бензин
das Ufer, -	берег
sparsam	бережливый
die Schwangerschaft, -en	беременность
Berlin, 10. April 2012	Берлин
gratis	бесплатно
kostenlos	бесплатный
die Störung, -en	беспокойство
sinnlos	бессмысленный
toll	бешеный
die Bibliothek, -en	библиотека
der Bikini, -s	бикини
das Ticket, -s	билет
die Fahrkarte, -n → CH: Billet	билет для проезда в общественном транспорте
das Billett, -e/-s → D, A: Fahrkarte	билет проездной
Bio	био
der Lebenslauf, ¨-e	биография
bio(logisch)	биологический
die Biologie	биология
die Biologie	биология
schlagen, schlägt, schlug, hat geschlagen	бить
sich bedanken, bedankt, bedankte, hat bedankt	благодарить
danken, dankt, dankte, hat gedankt	благодарить
der Dank	благодарность
dankbar	благодарный
günstig	благоприятный
blass	бледный
nah(e)	ближний
die Nähe	близость
der Blog, -s	блог
blond	блондин
der Flohmarkt, ¨-e	блошиный рынок
sich irren, irrt sich, irrte sich, hat sich geirrt	блуждать
die Bluse, -n	блузка
die Bohne, -n	бобовые
der Gott, ¨-er	бог
reich	богатый
wach	бодрый
der Kampf, ¨-e	бой
die Krankheit, -en	болезнь
der Fan, -s	болельщик
wehtun, tut weh, tat weh, hat wehgetan	болеть
der Schmerz, -en	боль
das Krankenhaus, ¨-er	больница
die Krankenkasse, -n	больничная касса
krank	больной
der Kranke, -n die Kranke, -n	больной
der Strom	большая река
mehr (siehe auch viel)	больше
die Mehrheit, -en	большинство
groß	большой
der Bart, ¨-e	борода
der Schuh, -e	ботинок
die Mülltonne, -n	бочка для мусора
ängstlich	боязливый
(sich) fürchten, fürchtet, fürchtete, hat gefürchtet (vor D) (für A, um A)	бояться за чтолибо опасаться за когол
die Ehe, -n	брак
der Bruder, ¨-	брат
die Geschwister (Pl.)	брат и сестра
nehmen, nimmt, nahm, hat genommen	брать
(sich) rasieren, rasiert, rasierte, hat rasiert	брить
die Reservierung, -en	бронирование
reservieren, reserviert, reservierte, hat reserviert	бронировать
buchen, bucht, buchte, hat gebucht	бронировать гостиницу
(hinunter) runterwerfen, wirft runter, warf runter, hat runtergeworfen	бросать
werfen, wirft, warf, hat geworfen	бросать
auffallen, fällt auf, fiel auf, ist aufgefallen	бросаться в глаза
die Broschüre, -n	брошюра
die Hose, -n	брюки
hoffentlich	будем надеяться
der Wecker, -	будильник
wecken, weckt, weckte, hat geweckt	будить
die Zukunft	будущее
zukünftig	будущий
der Buchstabe, -n	буква
das Brötchen, - (D) → A: Semmel; CH: Brötli	булочка
das Brötli, - (CH) → D: Brötchen; A: Semmel	булочка
die Semmel, -n (A) → D: Brötchen; CH: Brötli	булочка
das Papier, -e	бумага
die Brieftasche, -n → D, CH: Portemonnaie/Portmonee; A: Geldbörse	бумажник
der Bundestag, -(e)s	бундестаг
der Bürgermeister, - die Bürgermeisterin, -nen	бургомистр
der Sturm, ¨-e	буря
die Flasche, -n	бутылка
das Buffet, -s	буфет
schnell	быстрый
sein, ist, war, ist gewesen	быть
zu sein, ist zu, war zu, ist zu gewesen	быть
aufpassen, passt auf, passte auf, hat aufgepasst	быть внимательным
passen, passt, passte, hat gepasst	быть впору
müssen, muss, musste, hat gemusst (hat müssen als Modalverb)	быть должным
sollen, soll, sollte, hat gesollt (hat sollen als Modalverb)	быть должным
ausreichen, reicht aus, reichte aus, hat ausgereicht	быть достаточным
sich kennen	быть знакомым
möglicherweise	быть может
anhaben, hat an, hatte an, hat angehabt	быть одетым
sich eignen, eignet sich, eignete sich, hat sich geeignet	быть свойственным
feststehen, steht fest, stand fest, ist festgestanden	быть установленным
das Fundbüro, -s	бюро находок
in	в
nach	в
zu	в
live	в живую
schließlich	в конце концов
wenigstens	в конце концов
jederzeit	в любое время
zurzeit	в настоящее время
zurzeit	в настоящее время
überhaupt	в общем
mittags, zu Mittag, am Mittag	в полдень
um Mitternacht	в полночь
unterwegs	в пути
falls	в случае если
tagsüber	в течение дня
halbtags	в течение половины дня
insgesamt	в целом
mitten	в центре
der Wagen, -	вагон
der Speisewagen, -	вагонресторан
wichtig	важный
die Vase, -n	ваза
die Badewanne, -n	ванна
kochen, kocht, kochte, hat gekocht	варить
die Einleitung, -en	введение
die Einführung, -en	введение
aufwärts	вверх
rauf/rauf-	вверх
der Import, -e	ввоз
einführen, führt ein, führte ein, hat eingeführt	ввозить
entlang	вдоль
vegetarisch	вегетарианский
der Moderator, -en, die Moderatorin, -nen	ведущий радио или телепередачи
höflich	вежливый
das Jahrhundert, -e	век
die Größe, -n	величина
das Fahrrad, ¨-er → D, A: Rad; CH: Velo	велосипед
das Rad, ¨-er (D, A) → Fahrrad; CH: Velo	велосипед
das Velo, -s (CH) → Fahrrad; D, A: Rad	велосипед
der Radfahrer, - die Radfahrerin, -nen	велосипедист
treu	верный
vermutlich	вероятно
wahrscheinlich	вероятно
ober-	верхний
das Gewicht, -e	вес
sich amüsieren, amüsiert sich, amüsierte sich, hat sich amüsiert	веселиться
froh	веселый
fröhlich	веселый
vergnügt	веселый
der Frühling, -s, -e /das Frühjahr, -(e)s, -e	весна
führen, führt, führte, hat geführt	вести
bloggen	вести блог
twittern	вести твиттер
all	весь
ganz	весь
gesamt-/Gesamt	весь
der Wind, -e	ветер
windig	ветренно
der Abend, -e	вечер
die Party, -s	вечеринка
abends, am Abend	вечером
ewig	вечный
das Ding, -e	вещь
die Sache, -n	вещь
wiegen, wiegt, wog, hat gewogen	взвешивание
der Blick, -e	взгляд
einbrechen, bricht ein, brach ein, ist eingebrochen	взламывать
der Einbruch, ¨-e	взлом
der Einbrecher, - die Einbrecherin, -nen	взломщик
die Gebühr, -en	взнос
der Erwachsene, -n	взрослый
die Aussicht, -en	вид
die Sportart, -en	вид спорта
das Video, -s	видеотехнология
schauen, schaut, schaute, hat geschaut	видеть
träumen, träumt, träumte, hat geträumt	видеть во сне
sichtbar	видимый
das Visum, Visa	виза
die Visitenkarte, -n	визитная карточка
das Quiz	викторина
die Gabel, -n	вилка
der Stecker, -	вилка штепсельная
die Schuld, -en	вина
schuld	виновный
schuldig	виновный
der Wein, -e	виноград
der Virus, Viren	вирус
hängen, hängt, hing/hängte, hat gehangen/gehängt	висеть
das Vitamin, -e	витамин
das Schaufenster, -	витрина
einschalten, schaltet ein, schaltete ein, hat eingeschaltet	включать
schalten, schaltet, schaltete, hat geschaltet	включать
einschließlich	включая
inklusive	включая
