der Abend, -e	вечер
der Abendkurs, -e	вечерний курс
abends	вечерами
aber	но
der Abschied, -e	прощание
der Abschnitt, -e	отрезок
acht	8
der Actionfilm, -e	боевик
die Adresse, -n	адрес
afrikanisch	африканский
der Akkusativ	Винит.падеж
die Aktivität, -en	занятние
alle	все
alleine	сам
alt	старый
das Alter (nur Sing.)	возраст
am Abend	вечером
am Dienstag	во вторник
am Mittag	днем
am Montag	в понедельник
am Morgen	утром
am Nachmittag	в послеобеденное время
am Vormittag	в дообеденное время
anfangen	начинать
die Angabe, -n	сведения
ankreuzen	отметить крестиком
die Anmeldung, -en	регистрация
der Anruf, -e	оклик
anrufen	окликать
die Ansage, -n	объявление
ansehen	(по)смотреть
die Antwort, -en	ответ
antworten	отвечать
die Anzeige, -n	объявление
das Apartment, -s	комфортабелъная квартирка
der Apfel	яблоко
der Apfelkuchen,	яблочный пирог
der Apfelsaft, -..e	яблочный сок
das Arabisch (nur Sing.)	арабский
arbeiten	работать
das Arbeitsamt, -..er	ведомство по труду (трудоусторйство)
der Artikel,	артикль
der Arzt, -..e	врач
die Arztpraxis, -en	врачебная практика
der Atlas,se	атлас
auch	тоже
auf Deutsch	по-немецки
auf Wiederhören	До свидания (говорят по телефону)
auf Wiedersehen	До свидания
aufräumen	убирать
aufstehen	вставать
ausfüllen	заполнять
die Aussage, -n	высказывание
abfahren	отъезжать
die Abfahrt (Sing.)	отъезд
abfliegen	вылетать
der Abflug., -..e	вылет
abgeben	сдавать
abholen	встречать (забиратъ что-либо/кого-либо откуда-то)
die Absage, -n	отказ
der Absender,	отправитель
achten	следить за
der Adressat, -en	адресат
der Alkohol (Sing.)	алкоголь
das Alphabet, -e	алфавит
ambulant	амбулаторный
die Ampel, -n	светофор
das Amt, -..er	ведомство
anbei	в приложении
anbieten	предлагать
anders	другой
das Angebot, -e	предложение
die/der Angehörige, -n (ein Angehöriger)	родственник
ankommen	прибывать
die Ankunft (Sing.)	прибытие
anmachen	включать
anmelden	регистировать/заявлять
anprobieren	(по)мерить
die Anrede (Sing.)	обращение
der Anrufbeantworter,	тел.автоответчик
der Anrufer,	звонящий
anschließend	затем/сразу/после
der Anschluss, -..e	удобная пересадка
anstehen	стоять в очереди
der Antrag, -..e	заявление
der Antwortbogen,	лист для ответа
die Anweisung, -en	указание
anziehen	надевать
die Apotheke, -n	аптека
der April	апрель
die Arbeit, -en	работа
der Arbeiter,	работник
der Arbeitgeber,	работодатель
das Arbeitsblatt, -..er	рабочий лист
arbeitslos	безработный
der Arbeitsplatz, -..e	рабочее место
die Arbeitszeit, -en	рабочее время
der Arm, -e	рука
die Arzttermin, -e	назначение времени у врача
das Aspirin (Sing)	аспирин
die Aufforderung, -en	требование
auffüllen	наполнить доверху
die Aufgabe, -n	задание
aufmachen	открыть
aufpassen	быть внимателъным
aufschreiben	прописать
das Auge, -n	глаз
die Augenfarbe	цвет глаз
der August	август
der Ausgang, -..e	выход
die Auskunft, -..e	справка/инфо
der Ausländer,	иностранец
die Ausleihe, -n	выдача
ausmachen	выключать
aussehen	выглядить
außerdem	кроме того
aussteigen	выходить
auswählen	выбирать
der Ausweis, -e	удостоверение
das Auto, -s	автомобиль
die Autobahn, -en	скоростная автонагистраль
das Autofahren	автовождение
der Automechaniker,	автомеханик
die Autovermietung, -en	прокат машин
die Autowerkstatt, -..en	автомастерская
das Baby, -s	младенец
die Bäckerei, -n	булочная
das Bad, -..r	ванная
die Badewanne, -n	ванна
das Badezimmer,	ванная комната
der Bahnhof, -..e	вокзал
der Balkon, -e	балкон
die Banane, -n	банан
der Becher,	кружка
das Bedauern (nur Sing.)	сожаление
bedeuten	означать
das Befinden (nur Sing,)	самочувствие
die Begrüßung, -en	приветствие
das Beispiel, -e	пример
bequem	удобный
beschreiben	описывать
besondere	особенные
besser	лучше
bestimmt	определенно
das Bett, -en	кровать
bewölkt	облачно
bezahlen	платить
das Bier, -e	пиво
das Bild, -er	картина
bilden	составлять
billig	дешевый
bitte	пожалуйста
bitten	просить
boxen	заниматься боксом
brauchen	нуждатъся в...
braun	коричневый
die Breite (nur Sing)	широта
der Brief, -e	письмо
der Brieffreund, -e	друг по переписке
der Briefumschlag, -..e	конверт
bringen	приносить
das Brot, -e	хлеб
das Brötchen,	булочка
das Buch,-..er	книга
der Buchstabe, -n	буква
buchstabieren	говоритъ по буквам
der Bus, -se	автобус
die Butter (nur Sing)	масло
die Baby-Wäsche (Sing.)	детское белье
baden	купать
der Bahnsteig, -e	платформа
bald	скоро
das Band, -..er	том
die Bank, -en	банк
die Bauarbeiten (Plural)	строительные работы
der Bauarbeiter,	строитель
der Bauch, -..e	живот
der Baum, -..e	дерево
der Beamte, -n	чиновник
bearbeiten	обработать
der Beginn (Sing.)	начало
beginnen	начинать
begrenzt	ограниченный
die Behörde, -n	учреждение
das Bein, -e	нога
bekommen	получать
die Bemerkung, -en	примечание
benutzen	использовать
der Berg, -e	гора
der Beruf, -e	профессия
berufstätig	работающий
die Beschwerde, -n	жалоба
besetzt	занятый
besonders	особенно
bestellen	заказывать
bestimmen	определять
der Besuch, -e	визит
besuchen	посещать
die Betonung, -en	ударение
bewegen	двигать (ся)
die Bitte, -n	просьба
das Blei (Sing.)	свинец
bleiben	оставаться
das Bleigießen	гадание на растопленом свинце
die Blume, -n	цветок
der Blumenstrauß, -..e	букетов цветов
die Bluse, -n	блузка
brechen	ломать
die Briefmarke, -n	почтовая марка
die Brille, -n	очки
die Brücke, -n	мост
die Buchstabenkette, -n	цепочка букв
das Bundesland, -..er	федеральная земля
das Büro, -s	бюро
der Busfahrer,	водитель автобуса
der Busführerschein, -e	права на вождение автобуса
das Cafe, -s	кафе
der Cent, -s	цент
die Chiffre, -n	шифр
der Club, -s	клуб
die Cola (Sing.)	кола
der Computer,	компьютер
der Computertisch, -e	компьютерный стол
die CD, -s	CD
der Champagner (Sing)	шампанское
der Chef, -s	шеф
die Chefin, -nen	шефиня
die Chip-karte, -n	электронная карта (сим-карта)
der Clown, -s	клоун
der Computerspezialist, -e	компьютерный специалист
dabeihaben	иметь с собой
die Dame, -en	дама
danach	после
danke	спасибо
danken	благодарить
denn	тогда
das Datum, die Daten	дата
der Deutschkurs	курс немецкого
Deutschland (Sing.)	Германия
deutschsprachig	немецкоговорящий(ая)
der Deutschunterricht, -e	занятие (урок) по немецкому
der Dialog, -e	диалог
das Diktat, -e	диктант
der Dienstag, -e	вторник
diktieren	диктовать
der Donnerstag, -e	четверг
die Dose, -n	консервная банка.
dunkel	темный
der Durst (nur Sing.)	жажда
die Dusche, -n	душ
der Dativ, -e	дательный падеж
das Datum (Sing)	дата
dauern	длиться
denken	думать
deshalb	поэтому
die Detailansicht, -en	подробное описание
der Deutschtest, -s	тест по немецкому
der Dezember	декабрь
dick	толстый
das Diplom	диплом
direkt	прямой
die Disko, -s	дискотека
der Doktor, -en	доктор
das Dokument, -e	документ
das Dorf, -..er	деревня
dreimal	трижды
dringend	срочно
die Drogerie, -n	магазин аптекарских и косметических товаров
drüben	внутри
drücken	нажимать
der Drucker,	принтер
das Ei, -er	яйцо
einige	несколько
der Einkauf, -..e	покупка
der Einkaufswagen,..en	тележка для покупок
einkaufen	покупать
die Einladung, -en	приглашение
einmal	один раз
das Elektrogerät, -e	электроприбор
die Eltern (Plural)	родители
die E-Mail, s	электронный адрес
das Ende, -n	конец
endlich	наконец
die Englischkurs, -e	курс английского
Entschuldigen Sie!	Извините
die Entschuldigung, -en	извинение
ergänzen	дополнять
erklären	объяснить
erreichen	достигать
erzählen	рассказывать
essen	естъ (кушать)
der Esstisch, -e	обеденный стол
der Euro, -s	евро
das Europa (nur Sing.)	Европа
die Exkursion, -en	экскурсия
ebenso	также
echt	настоящий
die Ecke, -n	угол
die Ehefrau, -en	жена
das Ehepaar, -e	супружеская пара
der Ehering, -e	обручальное колъцо
eilig	спешный
einfach	простой
der Eingang, -..e	вход
einladen	приглашать
einordnen	подобрать
einsteigen	вставлять
einsetzen	садитъся (в транспорт)
eintragen	вносить
einzeln	отдельный
einziehen	въезжатъ (в квартиру)
das Einzugsdatum (Sing)	дата възда (в квартиру)
der Empfänger,	получатель
eng	узкий
das Englisch	английский язык
entschuldigen	извинять
das Erdgeschoss, -e	нижний этаж
erforderlich	необходимо
erhalten	получать
die Erklärung, -en	объяснение
erlaubt	разрешенный
das Erlebnis, -se	переживание
