riechen	пахнуть
der Geruch	запах
lecker	вкусный
erfreuen	радовать
Schnittchen	Канапе
die Zunge	язык
rausstrecken	вытащить (язык)
wahrnehmen	воспринимать
süß	сладкий
sauer	кислый
Tu nicht so	не делай этого
der Schote	Стручок
bitter	горький
fruchtig	фруктовый
ungewönlich	необычно
die Birne	груша
eingelegte	маринованный
Salzstangen	соленые палочки
die Zitrone	Лимон
allergisch	иметь аллергию
Gräser	злаки
die Allergie	Аллергия
verderben	портить
verschimmeln	плесневеть
verfaulen	гнить
das Pärchen	парочка
entsorgen	выбросить
Heuschnupfen	сенная лихорадка
Nüsse	орехи
Vegetarier	вегетарианец
zudem	кроме того
ernähren	питаться
Essgewohnheit	пищевая привычка
zubereiten	готовить
dämpfen	отварить на пару
Teigtaschen	вареники
frittieren	жарить во фритюре
aufbacken	подогреть
allerdings	хотя, однако
aufwärmen	подогреть
aufbewahren	хранить
Zusatzstoff	добавка
haltbar	долговечный
knusprig	хрустящий
deswegen	поэтому
heimische	домашний
enthälten	содержит
beinhalten	содержать
unterstützen	поддерживать
achten auf	обратить внимание на
vermutungen	гипотезы
Mais	кукуруза
die Beilage	гарнир
Zutaten	ингредиенты
umstellen	регулировать
bereits	уже
statt	вместо
verzichten	отрекаться
entsetzt	объятый ужасом
erleichtert	облегчение
die Aubergine	баклажан
schauen	взглянуть
hinzufügen	добавлять
anwidern	быть противным
verdorben	испорчен
Bissen	кусок
rümpfen	морщить нос
necken	дразнить
das Lamm	лама
der Eintopf	тушёное мясо
der Auflauf	запеканка
der Pfannkuchen	блины
der Faschingskrapfen	пончик
Möhren	морковь
Linse	чечевица
die Rösti	оладьи
unterrühren	смешивать
abmessen	отмерять
zusammenmischen	перемешать
umrühren	перемешивать
Schüssel	Мюсли
der Pfannenheber	лопатка
der Messbecher	мерная кружка
die Küchenwaage	кухонные весы
die Reibe	тёрка
der Teig	тесто
einleiten	начинать
wiederzugeben	воспроизводить
besitzen	обладать, иметь
Vorgangspassiv	Пассивный процесс
die Handlung	действие
vorwärmern	подогреть
lohnt sich	стоит того
Stadtführung	обзорная экскурсия
entspannen sich	расслабься
die Unterkunft	жилье
die Informationtafel	информационный стенд
die Ermäßigung	скидка
überfüllt	переполненный
ausfallen	отменяться
die Einreise	въезд
verspäten	опоздать
verpasst	пропустить
Einheimische	местный
Zelt	палатка
beschwerlich	затруднительно
an vorbei	мимоходом
gegenüber	напротив
um herum	вокруг, около, -ish
Fernweh bekommen	получить страсть к путешествиям
Heimweh zu haben	тосковать по дому
auswandern	эмигрировать
entdecken	открыть
spannend	захватывающий
mutig	отважный
die Brauch	обычай
der Einheimische	туземец
abentuerlustig	авантюрный
das Entwicklungsland	развивающаяся страна
per Anhalter reisen	путешествовать автостопом
nicht wiederzuerkennen sein	быть не узнаваемым
trösten	утешать
wütend	гневный
die Bedienung	манипуляция (операция)
die Vergangenheit	прошлое
das Ereignis	событие
ausdrücken	выражать
bisherigen	предыдущий
die Dienstleisteng, -en	service
erwerben	приобретать
anbieten	предлагать
jemand	someone
ausmachen (Termin)	назначить Termin
der Postbote	postman
der Bankangestellte	bank assistant
der Gärtner	gardener
vereinbaren	to arrange
abgeben	отдавать
das Ordnungsamt	regulatory agency
der Auftrag, Aufträge	заказ, поручение
der Metzger	мясник
der Anzug	костюм
der Ärmel	рукав
der Schneider	портной
nach Maß anfertigen	to customize
der Smoking	Смокинг
die Manschette	манжета
die Hosenbeine	штанина
der Hosenbund	пояс
weit	широкий
der Kragen	воротник
leger	casual
passend sich	подходит
die Änderung	изменение
die Taufe	крещение
die Einweihungsparty	иннагурация
Abschiedsfete	farewell party
Junggesellinnen/Junggesellinnen-Abschied	девичник/мальчишник
haben Angst vor	Бояться чего-то
mit etwas verbunden sein	связало с
die Börse	биржа
der Gürtel	ремень
stimmhaft	звонкий
stimmlos	глухой
sich einigen auf etwas	согласиться на что-то
etwas abholen	to pick up smth
die Näherin	швея
nähen	шить
Rasen machen	газон косить
besonderheit	особенность
erreichen	достигать
irren	заблуждаться
die Fähigkeit	skill, ability
erwähnen	упомянуть
damit	так
seitdem	с того времени
umgehen	обход
mit etwas auskennen	знать о
präzise	точно
Sorgfältigkeit	тщательность
Unordentlichkeit	неопрятность
Führungseigenschaften	руководство
eigenverantwortlich	личная ответственность
verpflichtend	обязательный
auf Laufenden	в курсе
die Armut	бедность
Arbeitsbedingung	условия труда
vorbeireden	Обсуждение мимо
die Träne, -n	слеза
veröffentlichen	публиковать (идею)
Herrchen	master
Anschlüss	соединение
bahnbrechend	первопроходец
die Ergänzung	дополнение
die Eröffnung	открытие
aufzahlen	перечислять
ubertreiben	преувеличивать
entwickeln	развивать
hochladen	загрузить
herunterladen	скачать
gleich zeit	в то же самое время
äußerst	очень
unterbrechen	прерывать
kurzfristig	краткосрочный
abgesagt	cancelled
das Schild	табличка
umfährt	объехать
trennbare	отделимый
untrennbare	неотделимый
umschauen	осмотреться
betont	выделенный
hinlegen	lie down
ablegen	положить на
anstecken	заражать, надевать
auflegen	накладывать музыку
belegen	документировать
anlegen	приставлять
erlegen	убить
töten	убить
widerlegen	опровергать
darlegen	излагать
hinterlegen	сдать на хранение
beilegen	рядом доложить
einlegen	вставлять
neidisch	ревнивый
auffällig	эффектный
träumen von + Dativ	мечтать о
errinern sich an + Akkusativ	вспоминать
warten auf + Akkusativ	ждать кого-то
Denke an + Akkusativ	думать о ком-то
freuen sich auf + Akkusativ	с нетерпением ждать чего-то
bereite sich auf + Akk vor	готовиться к чему-то
treffen sich mit	встречаться с
lächen über + Akk	смеяться над
danken + Dativ für	благодарить кого-то за
bitten + Akk um	просить о
fragen +Akk nach	спрашивать кого-то о
antworten +Dativ auf	отвечать кому-то на
handeln	действовать
erhitzen	подогреть
der Zustand	Состояние
Trauzeuge	шафер
Braut	невеста
die Deklination	склонение
die Sonnersprossen	веснушки
Lächeln	улыбка
freiwillige	бесплатно, волонтерство
beleidigend	оскорбительный
entspannend	расслабляющий
der Affe	обезьяна
riesengroßen	огромный
aussprechen	произносить
fleißig	трудолюбивый
Erdbeben	землетрясение
Hochwasser	наводнение
heftige Stürme	сильные бури
die Waldbrand	лесной пожар
die Dürre, Trockzeit	засуха
verursachen	причинять
überfluten	заливать
schieben	толкать
wirbelstürme	Циклоны
entstehungsort	происхождение
Monsun	муссон
Ums leben kommen	умер (форм.)
obdachlos	бездомный
der Hagel	град
quer zum wind	поперек ветра
auslösen	быть причиной
gefährden	угрожать
vorhersehbar	предсказуемый
im verhältnis	по сравнению,в соотношении
der Schrott	лом
Elektroschrott	электронные отходы
der Kunststoff	пластик
der Sperrmüll	большой мусор
sperrig	большой, непростой
das Artensterben	вымирание видов
Überbevölkerung	перенаселенность
steigende	поднимающийся
Überfischung	перевылов рыбы
fangen	поймать
bodenerosion	эрозия почвы
Straßenbahn	трамвай
ausbrechen	извергаться
dahin, dorthin	туда
daher, dorther, von dort	отсюда, оттуда
da, dort	тут, там
außen, draußen	вне, снаружи
hinten	за
drinnen,drin	в (комнате)
neben	рядом
Mäppchen	пенал
Radiergummi	ластик
der Spitzer	точилка
klammer	зажим
anderwo	в другом месте
das Lineal	линейка
unten	снизу
auswärts	где-то снаружи
drüben	по ту сторону
abwärts (runter)	по напр. вниз
aufwärts (rauf)	по напр. вверх
bergab/ bergauf	вниз/ вверх по горе
irgendwo	где-то
nebenan	по-близости
nirgends, nirgendwo	нигде
überall	везде
flussabwärts/aufwärts	по реке/против реки
irgendwoher	откуда-то
irgendwohin	куда-то
rückwärts	назад
vorwärts	вперед
