ab	from
aber	but
anbieten	to offer
Angebot	das offer
anderen	other
abgeben	to give (sth.) in / to submit (sth.) / to deliver (sth.)
anders	different
ändern	to change
abholen	pick up
abschließen	to lock, to finish
Achtung	Attention!
Adresse	die address
anfangen	to begin
Anfang	der Beginning
Angst	die anxiety / fear
ankommen	arrive
Ahnung	die idea
aktiv	active
aktuell	current
alles	everything
alle	all
anmachen	to turn on
Ankunft	die Arrival
sich anmelden	to register / to enroll / to apply
Anmeldung	die registration
Anrufbeantworter	der Answering machine
anrufen	call
Anruf	der Call
allein	alone
als	as
also	so
Anschluss	der connection
ansehen	look at
antworten	reply
Antwort	die answer
alt	old
Alter	das age
Ampel	die traffic light
an	at
Anzeige	die display
Anzug	der suit
Apfel	der Apple
Apotheke	die pharmacy
Apparat	der device / machine
aus	out
arbeiten	work
Arbeit	die job
Ausbildung	die education
Ausflug	der Excursion
arbeitslos	unemployed
sich ärgern	to be angry
ausfüllen	to fill (in)
arm	poor
Arm	der arm
Ausgang	der exit
ausgeben	to spend (sth.)
Artikel	der item
ausgehen	go out
auch	too / also
auf	on
Auskunft	die information desk
Ausland	das foreign country
ausmachen	to turn (sth.) off
auspacken	unpacking
sich ausruhen	to rest
auf jeden Fall	definitely
auf keinen Fall	no way
aussehen	to appear / to look like (sth.)
aufhören	stop
aufmachen	open
außer	except
außerdem	beside
außerhalb	outside
aufpassen	watch out
aussprechen	pronounce
aussteigen	get out / get off
aufräumen	to clean up
aufregend	exciting
aufstehen	get up
Ausstellung	die exhibition
austragen	to deliver (sth.) / to carry (sth.) out
Ausweis	der ID card
Aufzug	der elevator
Auge	das eye
Auto	das automobile
Autobahn	die Highway
Automat	der machine / automat / vending machine
automatisch	automatically
Baby	das baby
Babysitter	der baby-sitter
beenden	to end (sth.) / to finish (sth.) / to break up
beginnen	begin
begründen	justify
bei	at
backen	to bake
Bäckerei	die bakery
Bad	das bath
beide	both
baden	to bathe
Bahn	die train
bekannt	known
Bekannte (weiblich)	die female friend / female acquaintance
Bekannte (männlich)	der male friend / male acquaintance
Bahnhof	der railway station
Bahnsteig	der platform
bekommen	to get
bald	soon
Balkon	der balcony
beliebt	popular
Ball	der ball
Banane	die banana
benutzen	to use
Band	die (music) band
bequem	comfortable
Bank (Geldinstitut)	die Bank (Money Institution)
Bank (Sitzgelegenheit)	die Bank (seating)
bar	in cash
beraten	to advise
Basketball	der basketball
Berg	der mountain
basteln	to tinker / to do handicrafts
Bauch	der belly
bauen	to build
berichten	to report
Beruf	der job
berühmt	famous
Baum	der tree
Bescheid	der answer / decision / information
Baustelle	die Building site / construction site
beschreiben	to describe
beantworten	to answer
sich bedanken	to thank so. (for sth.)
bedeuten	mean
sich beschweren	to complain
sich beeilen	to hurry up
besetzt	occupied
besichtigen	to visit
bleiben	to stay
besonders	especially
Bleistift	der pencil
bestätigen	to confirm
blöd	stupid
blond	blond
bestehen	consist
Blog	der blog
Blume	die flower
Bluse	die blouse
bestellen	to order
Bohne	die Bean
böse	angry
Besuch	der visit
besuchen	to visit
braten	to roast meat
Bett	das bed
brauchen	to need
sich bewerben	to make an application / to apply for sth.
Bewerbung	die application / canditature
Brief	der letter
bewölkt	cloudy
Briefmarke	die Stamp
Brille	die glasses
bezahlen	to pay
bringen	bring
Bibliothek	die library
Brot	das bread
Bier	das beer
Bild	das image
Brötchen	das bun / small bread
billig	cheap
Brücke	die bridge
Birne	die pear
Buch	das book
bis	to
bisschen	little
buchen	to book
Buchstabe	der letter / character
bitte	to request (sth.) / to beg for (sth.)
