abscond	скрываться
aberrant	отклоняющийся
alacrity	готовность, рвение
anomaly	аномалия
approbation	опробование
arduous	трудный
assuage	успокоить
audacious	дерзкий
austere	суровый
axiomatic	самоочевидный
canonical	канонический
capricious	капризный, своенравный
censure	порицание, осуждение
chicanery	кляузничество
connoisseur	ценитель, знаток
convoluted	запутанный, замысловатый
disabuse	разуверить
discordant	диссонирующий, несогласный
disparate	различный
effrontery	наглость
eloquent	красноречивый, выразительный
enervate	расслабленный, обессиленный
ennui	тоска, скука
equivocate	увиливать
erudite	эрудированный
exculpate	выгораживать, оправдывать
exigent	привиредливый
extemporaneous	импровизированный, спонтанный
filibuster	пират
fulminate	громить
ingenious	гениальный
inured	вступившее в законную силу
irascible	вспыльчивый
laud	хвалить, превозносить
lucid	ясный, прозрачный, понятный
magnanimity	великодушие
martial	боевой, военный
mundane	обыденный
nascent	зарождающиеся
nebulous	смутный, неясный
neologism	неологизм
noxious	вредный, пагубный
obtuse	бестолковый
obviate	устранять, избегать
onerous	обременительный, тягостный
paean	прославление
parody	пародия
perennial	многолетний
perfidy	вероломство, коварство
perfunctory	поверхностный
perspicacious	прозорливый, проницательный
prattle	болтовня
precipitate	опрометчивый, поспешный
predilection	пристрастие, склонность
prescience	дальновидность
prevaricate	кривить душой
qualms	зазрения совести
recant	отречься
refute	опровергнуть
relegate	отодвинуть
reticent	немногословен
solicitous	заботливый, внимательный
sordid	грязный, убогий, подлый
sporadic	спорадический, единичный
squander	растрачивать, транжирить
static	статический
stupefy	одурманивать
stymie	загнать в угол
synthesis	синтез, обобщение
torque	крутящий момент
tortuous	извилистый
truculent	свирепый
veracity	достоверность, точность
virulent	вирулентный
voracious	ненасытный
waver	колебаться
abate	стихать, стихать
accolade	похвала, награда
adulation	лесть
aesthetic	эстетичный
ameliorate	улучшать
ascetic	подвижник, отшельник
avarice	скупость
axiom	аксиома, постулат
burgeon	размножаться
bucolic	сельский
cacophony	какофония
canon	канон
castigation	бичевание
catalyst	катализатор
caustic	едкий, язвительный
chary	скупой, осторожный
cogent	убедительный
complaisance	покладистость, обходительность
contentious	спорный
contrite	кающийся
culpable	виновный
dearth	недостаток, нехватка, голод
demur	возражать
didactic	дидактический, учебный
discretion	благоразумие, рассудительность
disinterested	бескорыстный
dogmatic	догматический
ebullience	возбуждение
eclectic	эклектика
elegy	скорбный напев
emollient	смягчающее
empirical	эмпирический
enigmatic	загадочный
ephemeral	эфемерный, недолговечный
esoteric	эзотерический, тайный
