die Vielfalt	разнообразие
der Spruch, Sprüche	пословицы
die Achse	ось
die Parallelgesellschaft	отдельное сообщество
die Sitte	обычай
die Abstammung	происхождение
Meine meinung nach	По моему мнению
Mir scheint	Мне кажется
Meiner Erfahrung nach	По моему опыту
so wie ich das sehe	как я это вижу
Ich kann mir vorstellen	Я могу себе представить
hervorheben	подчеркивать
die Vertreter	представитель
zum See	к озеру
das Geduld	терпение
Besteck	столовые приборы
ein wenig	немного
derjenige (die-, das-)	этот человек (кто-то)
derselbe (die-,das-)	то же самое
begleiten	сопровождать
auffrischen	освежать
wenige	немногие
die Identität	личность
die Nationalität	национальность
die Volkszugehörigkeit	этническая принадлежность
einzigartig	индивидуальность
eigenartig	своеобразно
die Staatsangehörigkeit	национальность
die Ethnie	этническая принадлежность
die Volksgruppe	нац.меньшинства
die Staatsbürgerschaft	гражданство
Vorfahre	предок
kennzeichnet	черты
das Merkmal	признак, особенность
Adoleszenz	подростковый возраст
der Zuwachs	рост, прибыль
die Reife	зрелость
angemeinen	общий
fassen	принимать
Begriff	термин, концепция
Minderheit	меньшинство
extro(intro)vertiert	экстро(интро)верт
die Kultur	культура
der Lebensstil	стиль жизни
die Fahne	флаг
das Tatoo	тату
die Hymne	гимн
die Sprachidentität	языковая идентичность
Globalisierung	Глобализация
der Wohlstand	процветание
der Austausch	обмен
der Anhänger	Приверженец
der Gegner	Противник
das Wachstum	рост
in erster linie	в первую очередь
Welthandel	Мировые сделки
die Zunahme	увеличение
die Verbreitung	распространение
der Wettbewerb	Конкуренция
ausarten	вырождаться
Ungleichverteilung	неравномерное распределение
der Export/der Import	Экспорт/ Импорт
Einerseits/Andererseits	С одной стороны/ с другой стороны
die Leistung	Мощность, результативность
das Fazit	заключение
das Bewusstsein	сознание
die Herausforderung	вызов, неповиновение
vorhersagen	предсказать
der Sumpf	болото
die Pflicht	долг, обязанность
klopfen	постучать
Pfui	тьфу
wohltätige zwecke	благотворительные цели
der Zweck	Цель
bewundern	восхищаюсь
hüpfen	прыгать
Pfadfinder	разведчик
Zeit einteilen	Тайм менеджмент
dienen	служить
unterlassen	воздержаться
die Vorschrift, -en	правило
der Einwand, Einwände	возражение
Ergänzungen	аргументы за, дополнение
anführen	цитировать
Aussage	заявление
einwenden	возражать
aussetzen	разоблачать
bei Bedarf	при необходимости
die Tastatur	клавиатура
die Receiver	радио
entsperren	разблокировать
etwaige	любой/возможный
erledigen	заботиться
die Anwendung	приложение
stets	всегда
Notwendigkeit	необходимость
Inhalt	Содержание
vorlegen	предоставить
einhalten	следовать правилам
fetten	толстый, жирный
Fleiß	трудолюбие
Gern geschehen	не за что
Baum	дерево
Blaukraut	красная капуста
Brautkleid	платье невесты
der Zungenbrecher	скороговорка
die Redewendung	идиома
sich entspannen	расслабляться
Sinn	sense
das Stachelschwein	дикобраз
Stacheln	шпора
stolpern	спотыкаться
starren	вглядываться
die Fußspur	след
das Schach	шахматы
motiviert mich	мотивирует меня
anrufen bei	позвонить в
faul	ленивый
zurückrufen	call back
der Leitung	Линия
hinterlassen	покидать
wiederhören	услышать снова
Stärken/schwachen	сильные/слабые стороны
Personalabteilung	отдел кадров
Es reicht	Достаточно
aufpassen	быть настороже
beantworten die Frage (+Akk)	ответить на вопрос
bearbeiten	to process
beachten +Akk	обращать внимание
befreien	освобождать
die Tagesordnung	повестка дня
die Ablauf	выполнение
nicht im Haus	не на месте
allgemeinen	общий
hilfsbereit	полезный
verschieben	переносить termin
Vorgesetzter	руководитель
dazwischen	между этим
Fragerunde	время вопросов
die Reihenfolge	очередность
Vereinbarung	соглашение
verbesseren	улучшать
zeit verbringen	проводить время
sich jemanden vorstellen	представиться
sich etwas vorstellen	вообразить
vertreten	представлять мнение, поддерживать
ausreden lassen	выслушать не прерывая
besprechen	обсуждать
hinterlassen Nachricht	оставить сообщение
bezüglich	относительно
aufmerksam	внимательный
Stoffbeutel	матерчатые мешки
Wiederverwerten	переиспользовать
die Klimawandel	изменение климата
Übermäßige	больше меры
die Abholzung	вырубка леса
der Quelle	источник
abstellen	пресекать
der Zweifel	сомнение
schonen	экономить, беречь
bevorzugen	prefer
verhindern	Предотвратить
Mehrwegflaschen	многоразовые бутылки
von +Dativ an	начиная с
bis auf +Akk	до
schnarchen	храпеть
runterdrehen	сделать потише
auf +Akk hin	из-за
bis über Ohren	по уши
bis zu +Dativ	до
inmitten von +Dativ	в середине чего-то
aufgrund von +Dativ	из-за чего-то
innerhalb von +Dativ	в течение
von +Dativ (mir) aus	По-моему
ablegen	сдавать экзамен
loswerden	избавляться
innerhalb +Gen	в течение
Von +Dativ aus	из чего-то
klingen	звонить в звонок
klingeln	звонить по телефону
seit	с тех пор
der Umgebung	окружение
vor fünf jahren	пять лет назад
bis Ende Mai	до конца мая
ab Juni	начиная с июня
Nach dem Umzug	после переезда (в буд.)
sitze am Tisch	рядом со столом
auf der Tisch	на столе
nirgendwohin	никуда
nirgends	нигде
abhängig	зависимый
die Ehre	честь
Mühe	усилие
gerecht	справедливо
die Abwesenheit	отсутствие
ohne +Akk	без чего-то
außer +Dativ	кроме чего-то
ohne...zu	без чего-то сделанного
die Falte	складка, морщина
unterwegs	в пути
ebenso	а также
angeben	давать сведения
erlernen	усваивать
beherrschen	владеть
Tätigkeit	деятельность
Bezeichnung	наименование
erraten	угадать
das Anschreiben	Сопроводительное письмо
die Stellenanzeige	объявление о работе
Hintergrund	background
geeignet	подходит
(an)statt + Gen	вместо
anstelle + Gen	альтернатива
wegen + Gen	из-за
trotz + Gen	вопреки
außerhalb + Gen	вне
innerhalb + Gen	внутри
oberhalb + Gen	над
unterhalb + Gen	под
aufgrund + Gen	из-за
Noten	оценки
die Vorlesungszeit	время лекции
bedürfen	нуждаться
beschuldigen	обвинен
verdächtigen + Akk	подозревает
anklagen	обвинять
der Diebstahl	кража
der Dieb	вор
gedenken	поминать (мертвый/больной)
gefallenen	павшие
überführen	обличать
bezichtigen	обвинять
der Untreue	неверность
der Tat	действие
zerbrochen	сломан
die Stimmung	настроение
die Eigenschaft	качество
die Urheberschaft	авторство
Verbergänzungen	дополнение к глаголу
berücksichtigen	рассматривать
schreien	кричать
der Vorsatz	намерение
Umgangssprache	разговорный
versiebenfacht	семикратный
unvermeidbar	неизбежный
die Verfügbarkeit	доступность
das Vertrauen	доверие
der Missbrauch	abuse
der Betrug	мошенничество
mittlerweile	между тем
erfordern	требовать
die Landflucht	урбанизация
der Flüchtling	Беженец
die Herausforderungen	вызов
die Anregungen	предложение
die Wohngegend	жилой райной
das Viertel	квартал
das Gewerbegebiet	промышленный район
belebt	оживленно
großflächig	большая поверхность
die Weide	пастбище
der Pfad	путь
der Feldweg	путь в поле
kultivieren	возделывать
der Anbau	выращивание
bewässern	орошать
das Grundstück	собственность
die Landwirtschaft	сельское хозяйство
betrifft	касательно
klettern	взобраться
das Spitzer	точилка
raspeln	сделать маленьким
reißen	рвать
beißen	кусать
die Robbe	тюлень
die Klippe	скала
