dienen	служить
unterlassen	воздержаться
die Vorschrift, -en	правило
der Einwand, Einwände	возражение
Ergänzungen	аргументы за, дополнение
anführen	цитировать
Aussage	заявление
einwenden	возражать
aussetzen	разоблачать
bei Bedarf	при необходимости
die Tastatur	клавиатура
die Receiver	радио
entsperren	разблокировать
etwaige	любой/возможный
erledigen	заботиться
die Anwendung	приложение
stets	всегда
Notwendigkeit	необходимость
Inhalt	Содержание
vorlegen	предоставить
einhalten	следовать правилам
fetten	толстый, жирный
Fleiß	трудолюбие
Gern geschehen	не за что
Baum	дерево
Blaukraut	красная капуста
Brautkleid	платье невесты
der Zungenbrecher	скороговорка
die Redewendung	идиома
sich entspannen	расслабляться
Sinn	sense
das Stachelschwein	дикобраз
Stacheln	шпора
stolpern	спотыкаться
starren	вглядываться
die Fußspur	след
das Schach	шахматы
motiviert mich	мотивирует меня
anrufen bei	позвонить в
faul	ленивый
zurückrufen	call back
der Leitung	Линия
hinterlassen	покидать
wiederhören	услышать снова
Stärken/schwachen	сильные/слабые стороны
Personalabteilung	отдел кадров
Es reicht	Достаточно
aufpassen	быть настороже
beantworten die Frage (+Akk)	ответить на вопрос
bearbeiten	to process
beachten +Akk	обращать внимание
befreien	освобождать
die Tagesordnung	повестка дня
die Ablauf	выполнение
nicht im Haus	не на месте
allgemeinen	общий
hilfsbereit	полезный
verschieben	переносить termin
Vorgesetzter	руководитель
dazwischen	между этим
Fragerunde	время вопросов
die Reihenfolge	очередность
Vereinbarung	соглашение
verbesseren	улучшать
zeit verbringen	проводить время
sich jemanden vorstellen	представиться
sich etwas vorstellen	вообразить
vertreten	представлять мнение, поддерживать
ausreden lassen	выслушать не прерывая
besprechen	обсуждать
hinterlassen Nachricht	оставить сообщение
bezüglich	относительно
aufmerksam	внимательный
Stoffbeutel	матерчатые мешки
Wiederverwerten	переиспользовать
die Klimawandel	изменение климата
Übermäßige	больше меры
die Abholzung	вырубка леса
der Quelle	источник
abstellen	пресекать
