der Zweifel	сомнение
schonen	экономить, беречь
bevorzugen	prefer
verhindern	Предотвратить
Mehrwegflaschen	многоразовые бутылки
von +Dativ an	начиная с
bis auf +Akk	до
schnarchen	храпеть
runterdrehen	сделать потише
auf +Akk hin	из-за
bis über Ohren	по уши
bis zu +Dativ	до
inmitten von +Dativ	в середине чего-то
aufgrund von +Dativ	из-за чего-то
innerhalb von +Dativ	в течение
von +Dativ (mir) aus	По-моему
ablegen	сдавать экзамен
loswerden	избавляться
innerhalb +Gen	в течение
Von +Dativ aus	из чего-то
klingen	звонить в звонок
klingeln	звонить по телефону
seit	с тех пор
der Umgebung	окружение
vor fünf jahren	пять лет назад
bis Ende Mai	до конца мая
ab Juni	начиная с июня
Nach dem Umzug	после переезда (в буд.)
sitze am Tisch	рядом со столом
auf der Tisch	на столе
nirgendwohin	никуда
nirgends	нигде
abhängig	зависимый
die Ehre	честь
Mühe	усилие
gerecht	справедливо
die Abwesenheit	отсутствие
ohne +Akk	без чего-то
außer +Dativ	кроме чего-то
ohne...zu	без чего-то сделанного
die Falte	складка, морщина
unterwegs	в пути
ebenso	а также
angeben	давать сведения
erlernen	усваивать
beherrschen	владеть
Tätigkeit	деятельность
Bezeichnung	наименование
erraten	угадать
das Anschreiben	Сопроводительное письмо
die Stellenanzeige	объявление о работе
Hintergrund	background
geeignet	подходит
(an)statt + Gen	вместо
anstelle + Gen	альтернатива
wegen + Gen	из-за
trotz + Gen	вопреки
außerhalb + Gen	вне
innerhalb + Gen	внутри
oberhalb + Gen	над
unterhalb + Gen	под
aufgrund + Gen	из-за
Noten	оценки
die Vorlesungszeit	время лекции
bedürfen	нуждаться
beschuldigen	обвинен
verdächtigen + Akk	подозревает
anklagen	обвинять
der Diebstahl	кража
der Dieb	вор
gedenken	поминать (мертвый/больной)
gefallenen	павшие
überführen	обличать
bezichtigen	обвинять
der Untreue	неверность
der Tat	действие
zerbrochen	сломан
die Stimmung	настроение
die Eigenschaft	качество
die Urheberschaft	авторство
