Verbergänzungen	дополнение к глаголу
berücksichtigen	рассматривать
schreien	кричать
der Vorsatz	намерение
Umgangssprache	разговорный
versiebenfacht	семикратный
unvermeidbar	неизбежный
die Verfügbarkeit	доступность
das Vertrauen	доверие
der Missbrauch	abuse
der Betrug	мошенничество
mittlerweile	между тем
erfordern	требовать
die Landflucht	урбанизация
der Flüchtling	Беженец
die Herausforderungen	вызов
die Anregungen	предложение
die Wohngegend	жилой райной
das Viertel	квартал
das Gewerbegebiet	промышленный район
belebt	оживленно
großflächig	большая поверхность
die Weide	пастбище
der Pfad	путь
der Feldweg	путь в поле
kultivieren	возделывать
der Anbau	выращивание
bewässern	орошать
das Grundstück	собственность
die Landwirtschaft	сельское хозяйство
betrifft	касательно
klettern	взобраться
das Spitzer	точилка
raspeln	сделать маленьким
reißen	рвать
beißen	кусать
die Robbe	тюлень
die Klippe	скала
die Flucht	побег
auf der Flucht sein	в бегах
Fläche	область
sich ablenken	отвлечься
etwas unternehmen	что-то предпринимать
die Gegenwart	настоящее время
eins mit der Natur sein	быть единым с природой
geprägt	отмеченный
die Niederlage	поражение
die Wiedervereinigung	воссоединение
die Zeitangabe	указание времени
die Scheibe	диск
einst	бывало
anfangs	первоначально
heutzutage	в наши дни
gegenwärtig	в настоящее время
inwieweit	в какой степени
Ehre zuteil wird	отдать честь
abknutschen	задушить поцелуями
das Testament	завещание
der Teufel	дьявол
Oberlehrer	всезнайка
aufwecken	будить
der Gedanke	мысль
mittendrin	в середине
beeinflussen	оказывать влияние
die Verantwortung übernehmen	брать на себя ответственность
anerkennen	признать
beeindruckender	впечатляющий
witziger	остроумный
Aufklärung	просветление
die Vernunft	причина
die Abhängigkeit	зависимость
plädieren	выступать за
der Bedingung	условие
das Schaf	овца
sich anpassen	адаптироваться
zufügen	причинить зло
verfassen	сочинять
die Einladung	приглашение
die Zeile	строка
vorweisen	представлять (оф)
